# Irregular inflections: one 'form lemma' pair per line, from Princeton WordNet 3.0
# (verb.exc / noun.exc / adj.exc / adv.exc), pruned to entries whose lemma exists in
# wordlist/known_words.txt. Regular forms are handled by rules in WordMorphology.kt.
omitting omit
optima optimum
outfitted outfit
outfitting outfit
outputted output
outputting output
overcame overcome
overflown overflow
overheard overhear
overlapped overlap
overlapping overlap
overridden override
overrode override
oversaw oversee
overseen oversee
overtaken overtake
overthrew overthrow
overthrown overthrow
overtook overtake
oxen ox
padded pad
padding pad
paid pay
panelled panel
panelling panel
panicked panic
panicking panic
panned pan
panning pan
parallelled parallel
parallelling parallel
paralyses paralysis
parcelled parcel
parcelling parcel
passers-by passer-by
patrolled patrol
patrolling patrol
patted pat
patting pat
pease pea
pedalled pedal
pedalling pedal
pegged peg
pegging peg
pence penny
pencilled pencil
pencilling pencil
penned pen
penning pen
pent pen
permitted permit
permitting permit
petted pet
pettier petty
pettiest petty
petting pet
phenomena phenomenon
pickier picky
pickiest picky
picnicked picnic
picnicking picnic
pigged pig
pigging pig
pinned pin
pinning pin
pistolled pistol
pistolling pistol
pitied pity
pitted pit
pitting pit
planned plan
planning plan
plateaux plateau
pled plead
plotted plot
plotting plot
plugged plug
plugging plug
popped pop
popping pop
potatoes potato
potted pot
potting pot
preferred prefer
preferring prefer
preoccupied preoccupy
prettied pretty
prettier pretty
prettiest pretty
programmed program
programmes program
programming program
propelled propel
propelling propel
propped prop
propping prop
proven prove
pubbed pub
pubbing pub
purified purify
pushier pushy
pushiest pushy
putting put
qualified qualify
quantified quantify
quarrelled quarrel
quarrelling quarrel
queried query
quitted quit
quitting quit
quizzed quiz
quizzes quiz
quizzing quiz
radii radius
ragged rag
ragging rag
rainier rainy
rainiest rainy
rallied rally
ran run
rang ring
rapped rap
rapping rap
ratified ratify
ratted rat
ratting rat
readier ready
readiest ready
reales real
rebelled rebel
rebelling rebel
rebuilt rebuild
rectified rectify
recurred recur
recurring recur
redded red
redder red
reddest red
redding red
referenda referendum
referred refer
referring refer
refuelled refuel
refuelling refuel
regretted regret
regretting regret
reis real
relied rely
repaid repay
repelled repel
repelling repel
replied reply
retold retell
rewound rewind
rewritten rewrite
rewrote rewrite
ribbed rib
ribbing rib
ridded rid
ridden ride
ridding rid
rigged rig
rigging rig
rimmed rim
rimming rim
ripped rip
ripping rip
risen rise
riskier risky
riskiest risky
rivalled rival
rivalling rival
robbed rob
robbing rob
rockier rocky
rockiest rocky
rode ride
rose rise
rosier rosy
rosiest rosy
rotted rot
rotting rot
rubbed rub
rubbing rub
rung ring
running run
rustier rusty
rustiest rusty
sadder sad
saddest sad
said say
salaried salary
saltier salty
saltiest salty
sang sing
sank sink
sat sit
satisfied satisfy
saw see
sawn saw
scanned scan
scanning scan
scarier scary
scariest scary
scarred scar
scarring scar
scarves scarf
scrapped scrap
scrapping scrap
scrubbed scrub
scrubbing scrub
seen see
selves self
sent send
setting set
sewn sew
sexier sexy
sexiest sexy
shabbier shabby
shabbiest shabby
shadier shady
shadiest shady
shaken shake
shakier shaky
shakiest shaky
shat shit
shaven shave
shedding shed
shelves shelf
shied shy
shier shy
shiest shy
shinier shiny
shiniest shiny
shipped ship
shipping ship
shitted shit
shitting shit
shod shoe
shone shine
shook shake
shopped shop
shopping shop
shot shoot
shotted shot
shotting shot
showier showy
showiest showy
shown show
shrank shrink
shredded shred
shredding shred
shrugged shrug
shrugging shrug
shrunk shrink
shrunken shrink
shutting shut
shyer shy
shyest shy
signalled signal
signalling signal
signified signify
silkier silky
silkiest silky
sillier silly
silliest silly
simplified simplify
singing sing
sinned sin
sinning sin
sipped sip
sipping sip
sitting sit
sketchier sketchy
sketchiest sketchy
ski'd ski
skimmed skim
skimming skim
skinned skin
skinnier skinny
skinniest skinny
skinning skin
skipped skip
skipping skip
slammed slam
slamming slam
slapped slap
slapping slap
sleepier sleepy
sleepiest sleepy
slept sleep
slid slide
slidden slide
slimmer slim
slimmest slim
slipped slip
slipping slip
slitting slit
slotted slot
slotting slot
slummed slum
slumming slum
smellier smelly
smelliest smelly
smelt smell
smokier smoky
smokiest smoky
snapped snap
snapping snap
snowier snowy
snowiest snowy
snuck sneak
sobbed sob
sobbing sob
sold sell
soli solo
solidified solidify
sorrier sorry
sorriest sorry
sought seek
sown sow
spanned span
spanning span
spat spit
specified specify
spectra spectrum
sped speed
speedier speedy
speediest speedy
spelt spell
spent spend
spicier spicy
spiciest spicy
spied spy
spilt spill
spinning spin
spiralled spiral
spiralling spiral
spitted spit
spitting spit
splitting split
spoilt spoil
spoke speak
spoken speak
spongier spongy
spongiest spongy
spotlit spotlight
spotted spot
spotting spot
sprang spring
sprung spring
spun spin
spurred spur
spurring spur
squidded squid
squidding squid
stabbed stab
stabbing stab
stadia stadium
starred star
starrier starry
starriest starry
starring star
steadied steady
steadier steady
steadiest steady
steamier steamy
steamiest steamy
stemmed stem
stemming stem
stepped step
stepping step
stigmata stigma
stimuli stimulus
stirred stir
stirring stir
stole steal
stolen steal
stonier stony
stoniest stony
stood stand
stopped stop
stopping stop
storied story
stormier stormy
stormiest stormy
strapped strap
strapping strap
stridden stride
stripped strip
stripping strip
striven strive
strode stride
stronger strong
strongest strong
strove strive
struck strike
strung string
stuck stick
studied study
stuffier stuffy
stuffiest stuffy
stung sting
stunned stun
stunning stun
sturdier sturdy
sturdiest sturdy
submitted submit
submitting submit
summed sum
summing sum
sung sing
sunk sink
sunken sink
sunned sun
sunnier sunny
sunniest sunny
sunning sun
supplied supply
swam swim
swapped swap
swapping swap
swept sweep
swimming swim
swollen swell
swopped swap
swopping swap
swops swap
swore swear
sworn swear
swum swim
swung swing
symbolled symbol
symbolling symbol
symposia symposium
syntheses synthesis
tagged tag
tagging tag
taken take
tanned tan
tanner tan
tannest tan
tanning tan
tapped tap
tapping tap
tastier tasty
tastiest tasty
taught teach
taxes tax
taxies taxi
taxying taxi
teeth tooth
tempi tempo
terrified terrify
testified testify
theses thesis
thieves thief
thinned thin
thinner thin
thinnest thin
thinning thin
thirstier thirsty
thirstiest thirsty
thornier thorny
thorniest thorny
thought think
threw throw
thriftier thrifty
thriftiest thrifty
thriven thrive
throve thrive
